Day,Date,Activity,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,08/02/2022,"went to dtec, came back and slept, went to the gym with dwayna and kabil, played ps4 with das and justin. met nakul for 5 minutes and slept.",,,,,,,,,,,,,,,,,,,,,,,
Wednesday,08/03/2022,took off. got up at 10 and missed econ meeting. went to gym at 3. Went for Scoopie. Went with papa for talk for shawarmas.,,,,,,,,,,,,,,,,,,,,,,,
Thursday,08/04/2022,big goodbyes to everyone at dtec. Came back with Reena and made them listen to some of my music. Slept then gymmed. Played splendor and spot it with family.,,,,,,,,,,,,,,,,,,,,,,,
Friday,08/05/2022,my birthday. Went to Taj Palace. waited for ria. Went for Absolute Barbecue. Went to Blue waters. Came back and slept. Played PS4 and Valo,,,,,,,,,,,,,,,,,,,,,,,
Saturday,08/06/2022,"Went for shopping with Nakul. Bought really good shoes and pants. Had KFC. Gave laptop for serviving. Ria and mama went to taylor, went to shop and save. STARTED PACKING",,,,,,,,,,,,,,,,,,,,,,,
Sunday,08/07/2022,"Had Thai Rice and aloo ki sabzi and puri. Met all my friends. Ahmed and I walked to Sahara and gave him a treat in laffah. Went for bowling and came firsrt in second game! Friends came home for 10 mins then went for swimming till 7:30. Then played pool for an hour and then ate charcoal biryani and then dropped ahmed to his house in MAHADEVS CAR. Ria, mama papa went to kinokuniya. Saw Dark with Ria at night",,,,,,,,,,,,,,,,,,,,,,,
Monday,08/08/2022,Went to Dolphinarium  and creek park. HAD CHINCHAUS. Finished Dark Knight. Mama made bread roll and lauki.,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,08/09/2022,"RIa mama took to atlantis. They went to Kepinski for coffee. Ria got a call from sc jignesh for job offer. Ria went for eye. also i want to aquaventure, taxi, large pizza in moe. Came back by metro and then met dwayne anurag and husam down for pool.",,,,,,,,,,,,,,,,,,,,,,,
Wednesday,08/10/2022,went to sahara. Bought glasses and blendjet for Ria. Back and bis day,,,,,,,,,,,,,,,,,,,,,,,
Thursday,08/11/2022,"Rakshabandhan. Went to buas house and ate a lot. Got the book ""rich dad poor dad"" and a table tennis racket! Felt very sick after coming.",,,,,,,,,,,,,,,,,,,,,,,
Friday,08/12/2022,GOT MY CHEQUE - 3056. Played Wii in the night. I finished Stray. Good lazy day. Started miles morales. read a bit of the book. Watched an episode of friends. Felt sick the whole day,,,,,,,,,,,,,,,,,,,,,,,
Saturday,08/13/2022,"justin and advik came over, valorant setup. gave treat of shawarma to justin. Chilled with him and nakul at the top. Met mrudav and seshadri at veg dine. met advik after. went on a walk with nakul and then showed him this journal.",,,,,,,,,,,,,,,,,,,,,,,
Sunday,08/14/2022,finalized packing. played wii and mama won bowling. went for a haircut. flight got delayed by 2 hours to 3am,,,,,,,,,,,,,,,,,,,,,,,
Monday,08/15/2022,travelling. watched encanto and read rich dad poor dad. finished never have i ever. met Sunita Mausi and had Ice cream,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,08/16/2022,helped bhupi nana with buying a phone. Met Tanushi and Ridhi Mausi at apple Had a subway and ice cream. Came back and slept till 10. Showed Amit Mama the PS4.,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,08/17/2022,Helped Bhupi Nana with the pole and lights. Went to Walmart to buy some stuff. Sent VSE Forms.  Met Govind Mathur and his wife. Slept at Ravi Nanaes,,,,,,,,,,,,,,,,,,,,,,,
Thursday,08/18/2022,Finished VSE PPT. Went to Surrey Central and SFU Surrey by metro. Went to the temple by bus. Stayed there for 4 hours. Had no charge after 8 lol. Tasty food,,,,,,,,,,,,,,,,,,,,,,,
Friday,08/19/2022,Went for a walk in the morning. Helped Ravi Nana with the Bathroom's glass door. Played a bit of badminton with them. Went to UBC. Met a lot of people in Browns and Nakuls place. Met Dua in mercante. Met Niko and Saran and went to Nitobe late at night.,,,,,,,,,,,,,,,,,,,,,,,
Saturday,08/20/2022,"Came back by bus. Got picked up at Ravi Nanas and went to Bhupi Nanas to help him setup. Put the boards, bricks etc. Met a lot of people in the event. Sang and slept",,,,,,,,,,,,,,,,,,,,,,,
Sunday,08/21/2022,Moved in. Met my team. Set up my room ,,,,,,,,,,,,,,,,,,,,,,,
Monday,08/22/2022,"Played table tennis and basketball at night with xya, peter, and umang. Met dua and hajira for a bit at night.",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,08/23/2022,Had lunch at Vanier then went to sessions. Went to the dollar store to buy hangers. Came back and had dinner. Setup my room and had an econ meeting. Went with Nakul and chirath in the car.. Got my fridge. Had ice cream. Met Ronak abinav and Aradhya. Came back and slept.,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,08/24/2022,Got up late and ran to the orientation. grabbed a drink from tims. Went for another session then went to Vanier to eat food. Did some work after in Sauder,,,,,,,,,,,,,,,,,,,,,,,
Thursday,08/25/2022,went downtown with peter and umang by evo. Had a lot of fun at belmont. sang the song supermarket flowers in the ballroom,,,,,,,,,,,,,,,,,,,,,,,
Friday,08/26/2022,sessions whole day. was very sleepy. played musical chairs and hide and seek. slept early,,,,,,,,,,,,,,,,,,,,,,,
Saturday,08/27/2022,jumpstart and move in day. meeting at night with residents and social thing. played games with them outside ces.,,,,,,,,,,,,,,,,,,,,,,,
Sunday,08/28/2022,went to whistler and squamish. amazing views. pushed ansh in the water. played a bit of ps at night.,,,,,,,,,,,,,,,,,,,,,,,
